thisN,key_resp.keys,key_resp.corr,tilt,hit,miss,fa,cr,,,,
0,down,1,-5,,,,1,,,,
1,down,1,-4,,,,1,,,,
2,up,0,2,,,1,,,,,
3,up,0,1,,,1,,,,,
4,down,1,-3,,,,1,,,,
5,down,0,0,,1,,,,,,
6,down,1,-3,,,,1,,,,
7,down,0,0,,1,,,,,,
8,up,1,0,1,,,,,,,
9,down,1,3,,,,1,,,,
10,down,1,4,,,,1,,,,
11,up,0,3,,,1,,,,,
12,up,0,1,,,1,,,,,
13,up,1,0,1,,,,,,,
14,up,0,-4,,,1,,,,,
15,up,1,0,1,,,,,,,
16,up,1,0,1,,,,,,,
17,up,1,0,1,,,,,,,
18,up,1,0,1,,,,,,,
19,down,1,4,,,,1,,,,
20,down,1,-3,,,,1,,,,
21,up,1,0,1,,,,,,,
22,up,1,0,1,,,,,,,
23,down,1,-4,,,,1,,,,
24,down,1,-2,,,,1,,,,
25,up,1,0,1,,,,,,,
26,up,1,0,1,,,,,,,
27,up,1,0,1,,,,,,,
28,down,1,-5,,,,1,,,,
29,up,1,0,1,,,,,,,
30,up,1,0,1,,,,,,,
31,down,1,3,,,,1,,,,
32,up,1,0,1,,,,,,,
33,down,1,-2,,,,1,,,,
34,up,1,0,1,,,,,,,
35,up,1,0,1,,,,,,,
36,up,1,0,1,,,,,,,
37,down,1,-2,,,,1,,,,
38,down,1,-3,,,,1,,,,
39,up,0,4,,,1,,,,,
40,down,1,-4,,,,1,,,,
41,down,0,0,,1,,,,,,
42,down,1,3,,,,1,,,,
43,up,0,-2,,,1,,,,,
44,down,0,0,,1,,,,,,
45,up,1,0,1,,,,,,,
46,up,1,0,1,,,,,,,
47,down,0,0,,1,,,,,,
48,up,1,0,1,,,,,,,
49,up,1,0,1,,,,,,,
50,up,1,0,1,,,,,,,
51,down,1,-3,,,,1,,,,
52,up,1,0,1,,,,,,,
53,down,1,4,,,,1,,,,
54,up,1,0,1,,,,,,,
55,up,1,0,1,,,,,,,
56,up,0,-2,,,1,,,,,
57,down,1,-5,,,,1,,,,
58,down,1,-5,,,,1,,,,
59,up,0,3,,,1,,,,,
60,down,1,2,,,,1,,,,
61,down,1,2,,,,1,,,,
62,down,1,-5,,,,1,,,,
63,up,1,0,1,,,,,,,
64,up,0,-3,,,1,,,,,
65,down,1,4,,,,1,,,,
66,down,1,4,,,,1,,,,
67,up,1,0,1,,,,,,,
68,up,1,0,1,,,,,,,
69,up,1,0,1,,,,,,,
70,down,1,-4,,,,1,,,,
71,up,1,0,1,,,,,,,
72,down,1,-2,,,,1,,,,
73,up,1,0,1,,,,,,,
74,up,0,2,,,1,,,,,
75,up,1,0,1,,,,,,,
76,down,1,-5,,,,1,,,,
77,down,1,-3,,,,1,,,,
78,down,0,0,,1,,,,,,
79,down,1,-4,,,,1,,,,
80,down,1,-2,,,,1,,,,
81,down,1,-5,,,,1,,,,
82,up,0,4,,,1,,,,,
83,down,0,0,,1,,,,,,
84,down,1,-3,,,,1,,,,
85,up,1,0,1,,,,,,,
86,down,1,-5,,,,1,,,,
87,up,1,0,1,,,,,,,
88,up,0,3,,,1,,,,,
89,up,0,4,,,1,,,,,
90,up,1,0,1,,,,,,,
91,up,0,2,,,1,,,,,
92,up,1,0,1,,,,,,,
93,up,0,4,,,1,,,,,
94,up,1,0,1,,,,,,,
95,up,1,0,1,,,,,,proportion hit,0.829787234
96,up,0,1,,,1,,,,proportion fa,0.339622642
97,up,1,0,1,,,,,,,
98,up,0,3,,,1,,,,,
99,down,0,0,,1,,,,,d prime,1.366818024
,,,,,,,,,,c,-1.16007141
,,,,39,8,18,35,,,,
